Player,Season Group,Y/A,Y/R,Succ%,1D
Kareem Hunt,Group1,4.43,7.87,49.63,24.67
Kareem Hunt,Group2,3.47,6.43,49.80,36.67
Kareem Hunt,Difference,-21.80,-18.22,0.34,48.65
