Player,Season Group,Y/A,Y/R,Succ%,1D
Alexander Mattison,Group1,4.27,8.30,41.93,23.67
Alexander Mattison,Group2,3.63,6.90,42.63,24.67
Alexander Mattison,Difference,-0.63,-1.40,0.70,1.00
