Player,Season Group,Y/A,Y/R,Succ%,1D
Austin Ekeler,Group1,4.40,9.17,47.87,37.00
Austin Ekeler,Group2,4.27,8.57,49.13,33.00
Austin Ekeler,Difference,-0.13,-0.60,1.27,-4.00
