Player,Season,Comb,Solo,Ast
David Edwards,2019,0.00,0.00,0.00
David Edwards,2020,0.00,0.00,0.00
David Edwards,2021,1.00,1.00,0.00
David Edwards,2022,0.00,0.00,0.00
David Edwards,2023,0.00,0.00,0.00
David Edwards,2024,0.00,0.00,0.00
