Player,Season,PD,Comb,Solo,Ast
Rashan Gary,2019,0.00,21.00,13.00,8.00
Rashan Gary,2020,1.00,35.00,19.00,16.00
Rashan Gary,2021,0.00,47.00,27.00,20.00
Rashan Gary,2022,1.00,32.00,21.00,11.00
Rashan Gary,2023,2.00,44.00,23.00,21.00
Rashan Gary,2024,1.00,47.00,26.00,21.00
