Player,Season,Y/P,Lng
Michael Dickson,2018,48.20,69.00
Michael Dickson,2019,45.10,63.00
Michael Dickson,2020,49.60,67.00
Michael Dickson,2021,46.90,68.00
Michael Dickson,2022,48.50,68.00
Michael Dickson,2023,50.00,73.00
Michael Dickson,2024,49.40,68.00
