Player,Season Group,PD,Comb,Solo,Ast
Stephon Gilmore,Group1,8.33,35.33,29.67,5.67
Stephon Gilmore,Group2,11.00,63.33,49.00,14.33
Stephon Gilmore,Difference,2.67,28.00,19.33,8.67
