Player,Season Group,PD,Comb,Solo,Ast
Rock Ya-Sin,Group1,6.67,46.00,39.00,7.00
Rock Ya-Sin,Group2,3.67,20.33,16.33,4.00
Rock Ya-Sin,Difference,-3.00,-25.67,-22.67,-3.00
