Player,Season Group,Y/R,Y/Tgt,Succ%
Travis Kelce,Group1,12.80,9.07,63.53
Travis Kelce,Group2,10.43,7.70,61.80
Travis Kelce,Difference,-18.49,-15.07,-2.73
