Player,Season,FG%,Lng
Harrison Butker,2017,90.50,53.00
Harrison Butker,2018,88.90,54.00
Harrison Butker,2019,89.50,56.00
Harrison Butker,2020,92.60,58.00
Harrison Butker,2021,89.30,56.00
Harrison Butker,2022,75.00,62.00
Harrison Butker,2023,94.30,60.00
Harrison Butker,2024,84.00,53.00
