Player,Season,FG%,Lng
Ka'imi Fairbairn,2017,80.00,55.00
Ka'imi Fairbairn,2018,88.10,54.00
Ka'imi Fairbairn,2019,80.00,54.00
Ka'imi Fairbairn,2020,87.10,54.00
Ka'imi Fairbairn,2021,78.90,61.00
Ka'imi Fairbairn,2022,93.50,56.00
Ka'imi Fairbairn,2023,96.40,54.00
Ka'imi Fairbairn,2024,85.70,59.00
