Player,Season,FG%,Lng
Daniel Carlson,2018,66.70,49.33
Daniel Carlson,2019,73.10,48.00
Daniel Carlson,2020,94.30,54.00
Daniel Carlson,2021,93.00,56.00
Daniel Carlson,2022,91.90,57.00
Daniel Carlson,2023,86.70,54.00
Daniel Carlson,2024,85.00,54.00
