Player,Season Group,Y/R,Y/Tgt,Succ%
Diontae Johnson,Group1,10.97,6.90,47.80
Diontae Johnson,Group2,11.07,6.07,44.13
Diontae Johnson,Difference,0.11,-0.83,-3.67
