Player,Season,FG%,Lng
Matt Gay,2019,77.10,58.00
Matt Gay,2020,87.50,51.00
Matt Gay,2021,94.10,55.00
Matt Gay,2022,93.30,58.00
Matt Gay,2023,80.50,57.00
Matt Gay,2024,83.80,56.00
