Player,Season,FG%,Lng
Chase McLaughlin,2019,78.95,49.25
Chase McLaughlin,2020,80.00,52.00
Chase McLaughlin,2021,71.40,57.00
Chase McLaughlin,2022,83.30,54.00
Chase McLaughlin,2023,93.50,57.00
Chase McLaughlin,2024,93.80,56.00
