Player,Season,FG%,Lng
sportsref download (73),2015,86.70,58.00
sportsref download (73),2016,79.40,56.00
sportsref download (73),2017,73.30,47.00
sportsref download (73),2018,91.70,56.00
sportsref download (73),2019,82.10,54.00
sportsref download (73),2020,100.00,61.00
sportsref download (73),2021,73.90,53.00
sportsref download (73),2022,91.90,56.00
sportsref download (73),2023,83.30,55.00
sportsref download (73),2024,86.70,59.00
