Player,Season,FG%,Lng
Cairo Santos,2014,83.30,53.00
Cairo Santos,2015,81.10,53.00
Cairo Santos,2016,88.60,53.00
Cairo Santos,2017,76.67,38.67
Cairo Santos,2018,78.70,43.00
Cairo Santos,2019,44.40,53.00
Cairo Santos,2020,93.80,55.00
Cairo Santos,2021,86.70,47.00
Cairo Santos,2022,91.30,51.00
Cairo Santos,2023,92.10,55.00
Cairo Santos,2024,84.00,54.00
