Player,Season Group,Y/R,Y/Tgt,Succ%
Allen Lazard,Group1,13.37,9.20,63.07
Allen Lazard,Group2,13.63,7.67,51.37
Allen Lazard,Difference,0.27,-1.53,-11.70
