Player,Season Group,PD,Comb,Solo,Ast
Sebastian Joseph-Day,Group1,1.33,45.67,27.67,18.00
Sebastian Joseph-Day,Group2,0.67,41.33,19.22,22.11
Sebastian Joseph-Day,Difference,-0.67,-4.33,-8.44,4.11
