Player,Season Group,PD,Comb,Solo,Ast
Foley Fatukasi,Group1,1.00,38.33,20.33,18.00
Foley Fatukasi,Group2,1.33,24.00,15.00,9.00
Foley Fatukasi,Difference,0.33,-14.33,-5.33,-9.00
