Player,Season Group,PD,Comb,Solo,Ast
Zaire Franklin,Group1,0.67,21.67,13.00,8.67
Zaire Franklin,Group2,6.00,173.00,100.67,72.33
Zaire Franklin,Difference,800.00,698.46,674.36,734.62
