Player,Season,PD,Comb,Solo,Ast
Marlon Humphrey,2017,11.00,34.00,30.00,4.00
Marlon Humphrey,2018,15.00,37.00,31.00,6.00
Marlon Humphrey,2019,14.00,65.00,53.00,12.00
Marlon Humphrey,2020,11.00,82.00,70.00,12.00
Marlon Humphrey,2021,13.00,58.00,44.00,14.00
Marlon Humphrey,2022,7.00,71.00,53.00,18.00
Marlon Humphrey,2023,5.00,26.00,22.00,4.00
Marlon Humphrey,2024,15.00,67.00,50.00,17.00
