Player,Season Group,PD,Comb,Solo,Ast
Ronnie Harrison,Group1,6.33,55.67,36.00,19.67
Ronnie Harrison,Group2,1.00,15.33,9.67,5.67
Ronnie Harrison,Difference,-84.21,-72.46,-73.15,-71.19
