Player,Season Group,PD,Comb,Solo,Ast
Marcus Williams,Group1,9.33,62.67,43.67,19.00
Marcus Williams,Group2,6.00,49.67,35.00,14.67
Marcus Williams,Difference,-3.33,-13.00,-8.67,-4.33
