Player,Season,Y/R,Y/Tgt,Succ%
David Moore,2017,,,
David Moore,2018,17.10,8.40,37.70
David Moore,2019,17.70,8.90,50.00
David Moore,2020,11.90,8.90,53.20
David Moore,2021,,0.00,0.00
David Moore,2023,18.80,13.40,71.40
David Moore,2024,11.00,6.20,49.10
