Player,Season,Y/R,Y/Tgt,Succ%
Marquise Brown,2019,12.70,8.20,47.90
Marquise Brown,2020,13.30,7.70,45.00
Marquise Brown,2021,11.10,6.90,45.20
Marquise Brown,2022,10.60,6.60,44.90
Marquise Brown,2023,11.30,5.70,42.60
Marquise Brown,2024,10.10,6.10,40.00
