Player,Season,Y/R,Y/Tgt,Succ%
Trent Taylor,2017,10.00,7.20,51.70
Trent Taylor,2018,8.30,5.20,41.50
Trent Taylor,2020,8.60,4.10,28.60
Trent Taylor,2021,20.50,13.70,66.70
Trent Taylor,2022,10.30,6.20,30.00
Trent Taylor,2023,,0.00,0.00
Trent Taylor,2024,11.00,11.00,100.00
