Player,Season,Y/R,Y/Tgt,Succ%
Terry McLaurin,2019,15.80,9.90,57.00
Terry McLaurin,2020,12.90,8.30,50.00
Terry McLaurin,2021,13.70,8.10,50.80
Terry McLaurin,2022,15.50,9.90,55.00
Terry McLaurin,2023,12.70,7.60,49.20
Terry McLaurin,2024,13.40,9.40,58.10
