Player,Season,Y/R,Y/Tgt,Succ%
DeAndre Hopkins,2013,15.40,8.80,51.60
DeAndre Hopkins,2014,15.90,9.50,53.50
DeAndre Hopkins,2015,13.70,7.90,53.60
DeAndre Hopkins,2016,12.20,6.30,47.00
DeAndre Hopkins,2017,14.40,7.90,50.60
DeAndre Hopkins,2018,13.70,9.60,61.30
DeAndre Hopkins,2019,11.20,7.80,58.70
DeAndre Hopkins,2020,12.20,8.80,58.10
DeAndre Hopkins,2021,13.60,8.90,59.40
DeAndre Hopkins,2022,11.20,7.50,54.20
DeAndre Hopkins,2023,14.10,7.70,43.80
DeAndre Hopkins,2024,11.03,7.73,61.43
