,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2019-2021,12.666666666666666,1.3333333333333333,32.333333333333336,22.333333333333332,279.0,11.233333333333333,2.6666666666666665,13.0,54.76666666666667,43.0,1.5666666666666667,19.033333333333335,65.66666666666667,7.5,1.6666666666666667,-0.3333333333333333,0.0,0.3333333333333333,25.0,2.5,0.75,-0.03333333333333336,0.10000000000000002,24.0,10.366666666666667,278.6666666666667,2.6666666666666665,1.0,2.0,
2022-2024,15.0,2.3333333333333335,27.666666666666668,18.0,214.33333333333334,11.799999999999999,1.3333333333333333,10.0,52.199999999999996,25.666666666666668,1.2,14.299999999999999,66.23333333333333,7.733333333333333,0.3333333333333333,2.6666666666666665,0.0,0.0,100.0,8.0,8.0,0.16666666666666666,0.03333333333333333,18.333333333333332,11.733333333333334,217.0,1.3333333333333333,0.3333333333333333,2.0,
Difference,2.333333333333334,1.0000000000000002,-4.666666666666668,-4.333333333333332,-64.66666666666666,0.5666666666666664,-1.3333333333333333,-3.0,-2.566666666666677,-17.333333333333332,-0.3666666666666667,-4.733333333333336,0.5666666666666629,0.2333333333333334,-1.3333333333333335,3.0,0.0,-0.3333333333333333,75.0,5.5,7.25,0.2,-0.06666666666666668,-5.666666666666668,1.3666666666666671,-61.666666666666686,-1.3333333333333333,-0.6666666666666667,0.0,
