Player,Season Group,PD,Comb,Solo,Ast
jalenreeves-maybin,Group1,1.33,43.00,30.00,13.00
jalenreeves-maybin,Group2,0.67,16.33,10.67,5.67
jalenreeves-maybin,Difference,-0.67,-26.67,-19.33,-7.33
