Player,Season Group,PD,Comb,Solo,Ast
Grover Stewart,Group1,1.33,43.00,25.67,17.33
Grover Stewart,Group2,2.00,61.67,32.00,29.67
Grover Stewart,Difference,50.00,43.41,24.68,71.15
