Player,Season Group,PD,Comb,Solo,Ast
Brent Urban,Group1,1.11,16.56,7.89,8.67
Brent Urban,Group2,2.33,21.00,11.67,9.33
Brent Urban,Difference,110.00,26.85,47.89,7.69
