Player,Season Group,PD,Comb,Solo,Ast
Sheldon Rankins,Group1,0.33,20.67,11.67,9.00
Sheldon Rankins,Group2,0.00,32.67,21.33,11.33
Sheldon Rankins,Difference,-100.00,58.06,82.86,25.93
