Player,Season,PD,Comb,Solo,Ast
Julian Love,2019,3.00,37.00,30.00,7.00
Julian Love,2020,3.00,64.00,47.00,17.00
Julian Love,2021,7.00,66.00,36.00,30.00
Julian Love,2022,5.00,124.00,79.00,45.00
Julian Love,2023,10.00,123.00,85.00,38.00
Julian Love,2024,12.00,109.00,79.00,30.00
