Player,Season,Y/R,Y/Tgt,Succ%
Cedrick Wilson Jr.,2019,9.20,5.80,50.00
Cedrick Wilson Jr.,2020,11.10,6.80,53.60
Cedrick Wilson Jr.,2021,13.40,9.90,60.70
Cedrick Wilson Jr.,2022,11.30,7.60,61.10
Cedrick Wilson Jr.,2023,13.50,7.80,47.40
Cedrick Wilson Jr.,2024,10.60,7.80,48.10
