Player,Season,Y/R,Y/Tgt,Succ%
kalifraymond,2016,,0.00,0.00
kalifraymond,2017,12.00,12.00,100.00
kalifraymond,2019,18.90,14.20,66.70
kalifraymond,2020,20.80,12.50,53.30
kalifraymond,2021,12.00,8.10,50.70
kalifraymond,2022,13.10,9.60,56.30
kalifraymond,2023,14.00,11.10,65.90
kalifraymond,2024,12.60,9.80,59.10
