Player,Season,Y/R,Y/Tgt,Succ%
Christian Kirk,2018,13.70,8.70,44.10
Christian Kirk,2019,10.40,6.60,52.80
Christian Kirk,2020,12.90,7.90,49.40
Christian Kirk,2021,12.80,9.50,60.20
Christian Kirk,2022,13.20,8.30,52.60
Christian Kirk,2023,13.80,9.30,57.60
Christian Kirk,2024,14.00,8.10,48.90
