Player,Season,Comb,Solo,Ast
Brandon Scherff,2015,0.00,0.00,0.00
Brandon Scherff,2016,0.00,0.00,0.00
Brandon Scherff,2017,0.00,0.00,0.00
Brandon Scherff,2018,0.00,0.00,0.00
Brandon Scherff,2019,0.00,0.00,0.00
Brandon Scherff,2020,0.00,0.00,0.00
Brandon Scherff,2021,1.00,1.00,0.00
Brandon Scherff,2022,0.00,0.00,0.00
Brandon Scherff,2023,0.00,0.00,0.00
Brandon Scherff,2024,0.00,0.00,0.00
