Player,Season,FG%,Lng
Justin Tucker,2012,90.90,56.00
Justin Tucker,2013,92.70,61.00
Justin Tucker,2014,85.30,55.00
Justin Tucker,2015,82.50,52.00
Justin Tucker,2016,97.40,57.00
Justin Tucker,2017,91.90,57.00
Justin Tucker,2018,89.70,56.00
Justin Tucker,2019,96.60,51.00
Justin Tucker,2020,89.70,55.00
Justin Tucker,2021,94.60,66.00
Justin Tucker,2022,86.00,58.00
Justin Tucker,2023,86.50,50.00
Justin Tucker,2024,73.30,56.00
