Player,Season,FG%,Lng
Jason Myers,2015,86.70,58.00
Jason Myers,2016,79.40,56.00
Jason Myers,2017,73.30,47.00
Jason Myers,2018,91.70,56.00
Jason Myers,2019,82.10,54.00
Jason Myers,2020,100.00,61.00
Jason Myers,2021,73.90,53.00
Jason Myers,2022,91.90,56.00
Jason Myers,2023,83.30,55.00
Jason Myers,2024,86.70,59.00
