Player,Season,FG%,Lng
Younghoe Koo,2017,50.00,41.00
Younghoe Koo,2019,88.50,48.00
Younghoe Koo,2020,94.90,54.00
Younghoe Koo,2021,93.10,54.00
Younghoe Koo,2022,86.50,54.00
Younghoe Koo,2023,86.50,54.00
Younghoe Koo,2024,73.50,58.00
