Player,Season Group,PD,Comb,Solo,Ast
Eric Murray,Group1,2.33,57.00,36.67,20.33
Eric Murray,Group2,3.33,38.33,25.33,13.00
Eric Murray,Difference,1.00,-18.67,-11.33,-7.33
