Player,Season,Y/A,Y/R,Succ%,1D
Dare Ogunbowale,2017,,,,0.00
Dare Ogunbowale,2018,,,,0.00
Dare Ogunbowale,2019,1.50,8.20,36.40,3.00
Dare Ogunbowale,2020,4.50,5.40,37.50,6.00
Dare Ogunbowale,2021,3.20,8.80,37.20,5.00
Dare Ogunbowale,2022,2.90,5.20,42.90,10.00
Dare Ogunbowale,2023,4.40,9.00,37.50,2.00
Dare Ogunbowale,2024,3.70,10.40,36.70,5.00
