Player,Season,Y/A,Y/R,Succ%,1D
Gus Edwards,2018,5.20,10.00,61.30,37.00
Gus Edwards,2019,5.30,6.40,51.90,46.00
Gus Edwards,2020,5.00,14.30,61.80,45.00
Gus Edwards,2022,5.00,,59.80,30.00
Gus Edwards,2023,4.10,15.00,54.00,49.00
Gus Edwards,2024,3.60,2.00,49.50,17.00
