Player,Season,Y/A,Y/R,Succ%,1D
Derrick Henry,2016,4.50,10.50,54.50,29.00
Derrick Henry,2017,4.20,12.40,45.50,40.00
Derrick Henry,2018,4.90,6.60,50.20,50.00
Derrick Henry,2019,5.10,11.40,49.20,73.00
Derrick Henry,2020,5.40,6.00,56.60,98.00
Derrick Henry,2021,4.30,8.60,44.70,49.00
Derrick Henry,2022,4.40,12.10,46.70,65.00
Derrick Henry,2023,4.20,7.60,46.10,63.00
Derrick Henry,2024,5.90,10.20,58.80,94.00
