Player,Season,Yds,Cmp%,Int,TD,1D
Baker Mayfield,2018,3725.00,63.80,14.00,27.00,171.00
Baker Mayfield,2019,3827.00,59.40,21.00,22.00,179.00
Baker Mayfield,2020,3563.00,62.80,8.00,26.00,188.00
Baker Mayfield,2021,3010.00,60.50,13.00,17.00,143.00
Baker Mayfield,2022,1442.00,60.47,5.33,6.67,62.67
Baker Mayfield,2023,4044.00,64.30,10.00,28.00,188.00
Baker Mayfield,2024,4500.00,71.40,16.00,41.00,224.00
