Player,Season,Yds,Cmp%,Int,TD,1D
Lamar Jackson,2018,1201.00,58.20,3.00,6.00,60.00
Lamar Jackson,2019,3127.00,66.10,6.00,36.00,161.00
Lamar Jackson,2020,2757.00,64.40,9.00,26.00,138.00
Lamar Jackson,2021,2882.00,64.40,13.00,16.00,135.00
Lamar Jackson,2022,2242.00,62.30,7.00,17.00,105.00
Lamar Jackson,2023,3678.00,67.20,7.00,24.00,167.00
Lamar Jackson,2024,4172.00,66.70,4.00,41.00,198.00
