Player,Season,Yds,Cmp%,Int,TD,1D
Josh Allen,2018,2074.00,52.80,12.00,10.00,89.00
Josh Allen,2019,3089.00,58.80,9.00,20.00,146.00
Josh Allen,2020,4544.00,69.20,10.00,37.00,228.00
Josh Allen,2021,4407.00,63.30,15.00,36.00,234.00
Josh Allen,2022,4283.00,63.30,14.00,35.00,214.00
Josh Allen,2023,4306.00,66.50,18.00,29.00,199.00
Josh Allen,2024,3731.00,63.60,6.00,28.00,173.00
