Player,Season Group,PD,Comb,Solo,Ast
Kevin Byard III,Group1,9.67,94.33,65.33,29.00
Kevin Byard III,Group2,5.00,106.44,67.44,39.00
Kevin Byard III,Difference,-48.28,12.84,3.23,34.48
