Player,Season,Y/R,Y/Tgt,Succ%
Noah Brown,2017,8.30,3.70,33.30
Noah Brown,2018,10.80,6.80,50.00
Noah Brown,2020,11.00,6.40,54.20
Noah Brown,2021,11.50,7.40,52.00
Noah Brown,2022,12.90,7.50,48.60
Noah Brown,2023,17.20,10.30,52.70
Noah Brown,2024,12.90,8.10,57.10
