Player,Season Group,PD,Comb,Solo,Ast
Devin White,Group1,3.33,119.67,80.67,39.00
Devin White,Group2,3.67,75.33,45.67,29.67
Devin White,Difference,10.00,-37.05,-43.39,-23.93
