Player,Season,PD,Comb,Solo,Ast
Zaire Franklin,2018,1.00,29.00,14.00,15.00
Zaire Franklin,2019,0.00,6.00,4.00,2.00
Zaire Franklin,2020,0.00,19.00,14.00,5.00
Zaire Franklin,2021,2.00,40.00,21.00,19.00
Zaire Franklin,2022,6.00,167.00,102.00,65.00
Zaire Franklin,2023,6.00,179.00,107.00,72.00
Zaire Franklin,2024,6.00,173.00,93.00,80.00
