Player,Season Group,Y/R,Y/Tgt,Succ%
DeAndre Hopkins,Group1,12.33,8.50,58.73
DeAndre Hopkins,Group2,12.11,7.64,53.14
DeAndre Hopkins,Difference,-0.22,-0.86,-5.59
