Player,Season Group,PD,Comb,Solo,Ast
Jalen Mills,Group1,5.67,54.00,41.00,13.00
Jalen Mills,Group2,4.00,40.00,23.00,17.00
Jalen Mills,Difference,-29.41,-25.93,-43.90,30.77
