Player,Season Group,PD,Comb,Solo,Ast
Michael Davis,Group1,11.67,52.33,40.33,12.00
Michael Davis,Group2,8.67,46.00,35.67,10.33
Michael Davis,Difference,-25.71,-12.10,-11.57,-13.89
