Player,Season,Y/A,Y/R,Succ%,1D
jamaalwilliams,2017,3.60,10.50,48.40,32.00
jamaalwilliams,2018,3.80,7.80,47.90,25.00
jamaalwilliams,2019,4.30,6.50,49.50,23.00
jamaalwilliams,2020,4.20,7.60,55.50,29.00
jamaalwilliams,2021,3.90,6.00,54.20,42.00
jamaalwilliams,2022,4.10,6.10,53.10,65.00
jamaalwilliams,2023,2.90,3.40,39.60,19.00
jamaalwilliams,2024,3.40,6.30,47.90,11.00
