Player,Season,Y/A,Y/R,Succ%,1D
Mike Boone,2018,4.30,0.50,36.40,2.00
Mike Boone,2019,5.60,5.70,46.90,9.00
Mike Boone,2020,5.40,5.00,63.60,2.00
Mike Boone,2021,8.80,11.00,50.00,2.00
Mike Boone,2022,4.30,10.70,33.30,6.00
Mike Boone,2023,4.60,5.70,60.00,2.00
Mike Boone,2024,3.90,-2.00,61.50,3.00
