Player,Season,Y/A,Y/R,Succ%,1D
Austin Ekeler,2017,5.50,10.30,55.30,13.00
Austin Ekeler,2018,5.20,10.40,50.00,25.00
Austin Ekeler,2019,4.20,10.80,44.70,32.00
Austin Ekeler,2020,4.60,7.50,43.10,26.00
Austin Ekeler,2021,4.40,9.20,55.80,53.00
Austin Ekeler,2022,4.50,6.70,48.00,46.00
Austin Ekeler,2023,3.50,8.50,47.50,34.00
Austin Ekeler,2024,4.80,10.50,51.90,19.00
