Player,Season Group,PD,Comb,Solo,Ast
Quinton Jefferson,Group1,1.67,32.00,15.00,17.00
Quinton Jefferson,Group2,0.67,24.11,11.11,13.00
Quinton Jefferson,Difference,-1.00,-7.89,-3.89,-4.00
