Player,Season Group,PD,Comb,Solo,Ast
Rashan Gary,Group1,0.33,34.33,19.67,14.67
Rashan Gary,Group2,1.33,41.00,23.33,17.67
Rashan Gary,Difference,1.00,6.67,3.67,3.00
