Player,Season,Y/P,Lng
Johnny Hekker,2012,45.80,68.00
Johnny Hekker,2013,46.30,64.00
Johnny Hekker,2014,46.50,61.00
Johnny Hekker,2015,47.90,68.00
Johnny Hekker,2016,47.80,78.00
Johnny Hekker,2017,47.90,70.00
Johnny Hekker,2018,46.30,68.00
Johnny Hekker,2019,47.40,71.00
Johnny Hekker,2020,45.60,63.00
Johnny Hekker,2021,44.20,59.00
Johnny Hekker,2022,48.50,68.00
Johnny Hekker,2023,46.80,69.00
Johnny Hekker,2024,45.70,65.00
