Player,Season,Y/P,Lng
Sam Martin,2013,47.20,72.00
Sam Martin,2014,46.10,71.00
Sam Martin,2015,46.00,66.00
Sam Martin,2016,48.50,63.00
Sam Martin,2017,43.40,64.00
Sam Martin,2018,44.70,61.00
Sam Martin,2019,45.30,62.00
Sam Martin,2020,46.80,69.00
Sam Martin,2021,46.00,68.00
Sam Martin,2022,47.70,67.00
Sam Martin,2023,45.80,70.00
Sam Martin,2024,46.70,65.00
