Player,Season,Y/P,Lng
Corey Bojorquez,2018,45.10,60.00
Corey Bojorquez,2019,41.90,67.00
Corey Bojorquez,2020,50.80,72.00
Corey Bojorquez,2021,46.50,82.00
Corey Bojorquez,2022,48.50,76.00
Corey Bojorquez,2023,49.40,73.00
Corey Bojorquez,2024,49.30,84.00
